marker	cell_name	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	pct.diff
B2M	Oligodendrocyte progenitor cell	1.96225458245179e-81	0.846125084787057	0.999	0.988	3.53480540482866e-77	8	0.011
B2M	Oligodendrocyte progenitor cell	3.62588026404798e-15	0.28765257891647	0.997	0.988	6.53166070765603e-11	10	0.00900000000000001
B2M	Endothelial cell	2.47873245123954e-275	0.763214354320855	1	0.988	4.4651886376629e-271	7	0.012
B2M	Endothelial cell	1.96225458245179e-81	0.846125084787057	0.999	0.988	3.53480540482866e-77	8	0.011
B2M	Endothelial cell	3.62588026404798e-15	0.28765257891647	0.997	0.988	6.53166070765603e-11	10	0.00900000000000001
B2M	B cell	2.47873245123954e-275	0.763214354320855	1	0.988	4.4651886376629e-271	7	0.012
B2M	B cell	1.96225458245179e-81	0.846125084787057	0.999	0.988	3.53480540482866e-77	8	0.011
B2M	B cell	3.62588026404798e-15	0.28765257891647	0.997	0.988	6.53166070765603e-11	10	0.00900000000000001
BANK1	B cell	0	0.837500354396527	0.535	0.028	0	10	0.507
BANK1	Secretory progenitor cell	0	0.837500354396527	0.535	0.028	0	10	0.507
BANK1	B cell	0	0.837500354396527	0.535	0.028	0	10	0.507
BANK1	B cell	0	0.837500354396527	0.535	0.028	0	10	0.507
BIRC3	Natural killer T (NKT) cell	7.72844382343766e-186	0.818601823298587	0.506	0.077	1.39220187035406e-181	10	0.429
BIRC3	Natural killer T (NKT) cell	2.18284801307902e-148	1.40527829528225	0.344	0.076	3.93218241076055e-144	8	0.268
BIRC3	Paneth cell	7.72844382343766e-186	0.818601823298587	0.506	0.077	1.39220187035406e-181	10	0.429
BIRC3	Paneth cell	2.18284801307902e-148	1.40527829528225	0.344	0.076	3.93218241076055e-144	8	0.268
BIRC3	Regulatory T (Treg) cell	7.72844382343766e-186	0.818601823298587	0.506	0.077	1.39220187035406e-181	10	0.429
BIRC3	Regulatory T (Treg) cell	2.18284801307902e-148	1.40527829528225	0.344	0.076	3.93218241076055e-144	8	0.268
BIRC3	CCR7+ dendritic cell	7.72844382343766e-186	0.818601823298587	0.506	0.077	1.39220187035406e-181	10	0.429
BIRC3	CCR7+ dendritic cell	2.18284801307902e-148	1.40527829528225	0.344	0.076	3.93218241076055e-144	8	0.268
BIRC3	B cell	7.72844382343766e-186	0.818601823298587	0.506	0.077	1.39220187035406e-181	10	0.429
BIRC3	B cell	2.18284801307902e-148	1.40527829528225	0.344	0.076	3.93218241076055e-144	8	0.268
BIRC5	MKI67+ progenitor cell	0	0.410243564254158	0.409	0.052	0	4	0.357
BIRC5	Cartilage Progenitor cell	0	0.410243564254158	0.409	0.052	0	4	0.357
BIRC5	Cartilage progenitor Cell	0	0.410243564254158	0.409	0.052	0	4	0.357
BIRC5	Neural progenitor cell	0	0.410243564254158	0.409	0.052	0	4	0.357
BIRC5	Cartilage progenitor cell	0	0.410243564254158	0.409	0.052	0	4	0.357
BTG1	Monocyte	2.19690568832231e-20	0.41252385546994	0.488	0.298	3.9575059069438e-16	10	0.19
BTG1	Monocyte	9.98545040065744e-73	0.435549612323452	0.548	0.29	1.79877903517443e-68	7	0.258
BTG1	Natural killer T (NKT) cell	2.19690568832231e-20	0.41252385546994	0.488	0.298	3.9575059069438e-16	10	0.19
BTG1	Natural killer T (NKT) cell	9.98545040065744e-73	0.435549612323452	0.548	0.29	1.79877903517443e-68	7	0.258
CA1	Erythroid progenitor cell	0	1.80361085088745	0.618	0.01	0	5	0.608
CA1	Red blood cell (erythrocyte)	0	1.80361085088745	0.618	0.01	0	5	0.608
CA1	Immature erythroid cell	0	1.80361085088745	0.618	0.01	0	5	0.608
CA2	Migration phase fetal germ cell	0	0.73548364013216	0.396	0.052	0	5	0.344
CA2	Epithelial cell	0	0.73548364013216	0.396	0.052	0	5	0.344
CA2	Mitotic fetal germ cell	0	0.73548364013216	0.396	0.052	0	5	0.344
CA2	Immature erythroid cell	0	0.73548364013216	0.396	0.052	0	5	0.344
CALM1	Gonadal endothelial cell	6.07822065256947e-36	0.25833743139508	0.562	0.484	1.09493066835386e-31	2	0.0780000000000001
CALM1	Gonadal endothelial cell	1.25995089366406e-145	0.734858549536718	0.777	0.48	2.26967553984644e-141	7	0.297
CALR	Natural killer T (NKT) cell	1.56928785017574e-156	0.719862873636773	0.812	0.506	2.82691513330657e-152	6	0.306
CALR	Gonadal mitotic phase fetal germ cell	1.56928785017574e-156	0.719862873636773	0.812	0.506	2.82691513330657e-152	6	0.306
CALR	B cell	1.56928785017574e-156	0.719862873636773	0.812	0.506	2.82691513330657e-152	6	0.306
