Tag	GSM257871	GSM257872	GSM257873	GSM257874
CTSE	7.38740562526531	6.06879117352591	6.64800805691165	6.32988242654501
CTSF	5.22786427254651	5.90188297657294	4.23411039718736	5.60197575908776
CTSG	14.2820024495875	14.0828559085072	13.9764477723494	14.0491848932137
CTSH	11.5883070635083	11.2959353454916	11.2516362583277	11.5873462369793
CTSK	6.65998162590662	6.54779220031376	5.58391015187168	6.53449276481462
CTSL	5.30945270663639	2.72959844872949	3.28510921103984	5.95662357965046
CTSO	7.34465986505962	7.34547621536625	7.22427185265138	7.61219766319634
CTSS	9.73744509786241	9.39106740444295	8.89969829518039	9.27547970233176
CTSV	6.73870029331644	6.69760703721467	6.69140853778396	7.27024859875042
CTSW	4.23584957650756	3.17175446070479	3.85413532043279	3.18605360792493
CTSZ	8.83101265689193	9.14374543676447	9.08109991118818	9.06955986187128
CTTN	5.47828911291786	5.91011382021935	6.49271364766511	6.43970956370351
CUBN	4.23519858748545	5.51502484600304	6.15171069264874	6.92576211367192
CUEDC1	5.13544047094593	5.84143477453181	3.32007592873108	4.34143787438548
CUEDC2	11.7777114799604	11.5044068720375	11.8556549517323	11.6377071418051
CUL1	10.8780585784629	11.0144668832653	10.4834832743113	10.9234017726436
CUL2	9.33061889945514	9.52297770309267	9.21106574826042	9.20622318418939
CUL3	11.2186540450218	11.3114304557497	11.2636037165809	11.5521743469473
CUL4A	10.3911254189479	10.5487255971639	10.4943055959056	10.5097057374701
CUL4B	8.91790310834677	9.22017273202633	9.17911290067856	9.1911110469553
CUL5	10.1706136237656	10.121378101963	10.2989904527309	10.1992429074047
CUL7	7.70274064555048	7.67300513228298	7.62927646812865	7.88811611856592
CUL9	4.66593845409986	6.47902841191166	6.93642593558369	6.27617466603242
CUTA	13.0512395349715	12.9045254935029	12.9897421808047	13.0268208034676
CUTC	9.6939939025485	9.58596715323876	9.64551613711659	9.61554871872461
CUX1	9.19204124571085	9.12437983616298	9.15772082537928	9.28335232122454
CUX2	6.80069286156155	6.54537072502038	5.73226377174466	7.06043654746519
CUZD1	6.06128585712101	6.01350915779949	6.68706068833989	5.33107816419653
